Feature_ID,Accession,Has_Contaminant_Flag,All_Reverse_Flag,Cow_Contaminant_Flag,Accession_RNA,Accession_Protein,GeneID,Symbol,Alias,Type,Location,Description
11,NP_620581.1,0,0,0,NM_139012,NP_620581,1432,MAPK14,CSBP CSBP1 CSBP2 CSPB1 EXIP Mxi2 PRKM14 PRKM15 RK SAPK2A p38 p38ALPHA,protein-coding,6p21.31,mitogen-activated protein kinase 14
12,NP_003253.1,0,0,0,NM_003262,NP_003253,7095,SEC62,Dtrp1 HTP1 TLOC1 TP-1,protein-coding,3q26.2,"SEC62 homolog, preprotein translocation factor"
13,XP_011517469.2;XP_016870753.1;XP_006717374.1,0,0,0,XM_006717311 XM_011519167 XM_017015264,XP_006717374 XP_011517469 XP_016870753,883,KYAT1,CCBL1 GTK KAT1 KATI,protein-coding,9q34.11,kynurenine aminotransferase 1
14,XP_016885944.1;XP_016885945.1;XP_011547442.1;XP_006726519.2,0,0,0,XM_006726456 XM_011549140 XM_017030455 XM_017030456,XP_006726519 XP_011547442 XP_016885944 XP_016885945,102725117,LOC102725117,---,protein-coding,---,rho guanine nucleotide exchange factor 5-like
15,NP_001003702.2;XP_016885946.1,0,0,0,NM_001003702 XM_017030457,NP_001003702 XP_016885946,445328,ARHGEF35,ARHGEF5L,protein-coding,7q35,Rho guanine nucleotide exchange factor 35
16,NP_848537.1;XP_011543596.1,0,0,0,NM_178443 XM_011545294,NP_848537 XP_011543596,83706,FERMT3,KIND3 MIG-2 MIG2B UNC112C URP2 URP2SF,protein-coding,11q13.1,fermitin family member 3
17,NP_006174.1,0,0,0,NM_006183,NP_006174,4922,NTS,NMN-125 NN NT NT/N NTS1,protein-coding,12q21.31,neurotensin
18,NP_001116293.1;XP_016870502.1;XP_016870503.1;XP_016870504.1,0,0,0,NM_001122821 XM_017015013 XM_017015014 XM_017015015,NP_001116293 XP_016870502 XP_016870503 XP_016870504,6418,SET,2PP2A I2PP2A IGAAD IPP2A2 PHAPII TAF-I TAF-IBETA,protein-coding,9q34.11,SET nuclear proto-oncogene
19,NP_009035.3,0,0,0,NM_007104,NP_009035,4736,RPL10A,CSA19 Csa-19 L10A NEDD6,protein-coding,6p21.31,ribosomal protein L10a
20,NP_001018054.1,0,0,0,NM_001018044,NP_001018054,80122,MAP3K19,RCK YSK4,protein-coding,2q21.3,mitogen-activated protein kinase kinase kinase 19
21,XP_011522203.1;XP_011522204.1;XP_011522205.1;XP_016880188.1;XP_016880189.1;XP_016880190.1;NP_000421.1,0,0,0,NM_000430 XM_011523901 XM_011523902 XM_011523903 XM_017024699 XM_017024700 XM_017024701,NP_000421 XP_011522203 XP_011522204 XP_011522205 XP_016880188 XP_016880189 XP_016880190,5048,PAFAH1B1,LIS1 LIS2 MDCR MDS NudF PAFAH,protein-coding,17p13.3,platelet activating factor acetylhydrolase 1b regulatory subunit 1
22,NP_001307954.1;NP_001307955.1;XP_006711411.1;NP_057158.1,0,0,0,NM_001321025 NM_001321026 NM_016074 XM_006711348,NP_001307954 NP_001307955 NP_057158 XP_006711411,51027,BOLA1,CGI-143,protein-coding,1q21.2,bolA family member 1
23,NP_004692.1,0,0,0,NM_004701,NP_004692,9133,CCNB2,HsT17299,protein-coding,15q22.2,cyclin B2
24,NP_004252.2,0,0,0,NM_004261,NP_004252,9403,SELENOF,SEP15,protein-coding,1p22.3,selenoprotein F
25,NP_653164.2,0,0,0,NM_144563,NP_653164,22934,RPIA,RPI RPIAD,protein-coding,2p11.2,ribose 5-phosphate isomerase A
26,NP_001036143.1;NP_001036144.1;NP_786886.1,0,0,0,NM_001042678 NM_001042679 NM_175744,NP_001036143 NP_001036144 NP_786886,389,RHOC,ARH9 ARHC H9 RHOH9,protein-coding,1p13.2,ras homolog family member C
27,NP_001655.1;NP_001300870.1,0,0,0,NM_001313941 NM_001664,NP_001300870 NP_001655,387,RHOA,ARH12 ARHA RHO12 RHOH12,protein-coding,3p21.31,ras homolog family member A
28,NP_004031.1,0,0,0,NM_004040,NP_004031,388,RHOB,ARH6 ARHB MST081 MSTP081 RHOH6,protein-coding,2p24.1,ras homolog family member B
29,NP_060598.3,0,0,0,NM_018128,NP_060598,55720,TSR1,---,protein-coding,17p13.3,"TSR1, ribosome maturation factor"
30,NP_001166958.1;NP_001166959.1;NP_060014.2;XP_011529667.1,0,0,0,NM_001173487 NM_001173488 NM_017544 XM_011531365,NP_001166958 NP_001166959 NP_060014 XP_011529667,55922,NKRF,ITBA4 NRF,protein-coding,Xq24,NFKB repressing factor
31,NP_006784.1,0,0,0,NM_006793,NP_006784,10935,PRDX3,AOP-1 AOP1 HBC189 MER5 PRO1748 SP-22 prx-III,protein-coding,10q26.11,peroxiredoxin 3
32,NP_002114.3;NP_001230890.1,0,0,0,NM_001243961 NM_002123,NP_001230890 NP_002114,3119,HLA-DQB1,CELIAC1 HLA-DQB IDDM1,protein-coding,6p21.32,"major histocompatibility complex, class II, DQ beta 1"
33,XP_006716984.1,0,0,0,XM_006716921,XP_006716984,10319,LAMC3,OCCM,protein-coding,9q34.12,laminin subunit gamma 3
34,XP_016857790.1;NP_076971.1;XP_016857793.1;XP_016857792.1;NP_001288627.1;NP_001288628.1;XP_016857794.1;XP_006710954.1;NP_001288630.1,0,0,0,NM_001301698 NM_001301699 NM_001301701 NM_024066 XM_006710891 XM_017002301 XM_017002303 XM_017002304 XM_017002305,NP_001288627 NP_001288628 NP_001288630 NP_076971 XP_006710954 XP_016857790 XP_016857792 XP_016857793 XP_016857794,79033,ERI3,PINT1 PRNPIP,protein-coding,1p34.1,ERI1 exoribonuclease family member 3
35,XP_016855529.1;NP_056651.1,0,0,0,NM_015836 XM_017000040,NP_056651 XP_016855529,10352,WARS2,TrpRS,protein-coding,1p12,"tryptophanyl tRNA synthetase 2, mitochondrial"
36,XP_005264167.1;NP_001093640.1;NP_001093639.1;XP_016858683.1;NP_006830.2,0,0,0,NM_001100169 NM_001100170 NM_006839 XM_005264110 XM_017003194,NP_001093639 NP_001093640 NP_006830 XP_005264167 XP_016858683,10989,IMMT,HMP MINOS2 Mic60 P87 P87/89 P89 PIG4 PIG52,protein-coding,2p11.2|2,inner membrane mitochondrial protein
37,XP_005260065.1;XP_006722891.1,0,0,0,XM_005260008 XM_006722828,XP_005260065 XP_006722891,58525,WIZ,ZNF803,protein-coding,19p13.12,widely interspaced zinc finger motifs
38,REV__NP_005677.2,0,2,0,---,---,---,---,---,---,---,---
39,NP_665807.1,0,0,0,NM_145808,NP_665807,136319,MTPN,GCDP V-1,protein-coding,7q33,myotrophin
40,NP_001164606.1;NP_001164607.1;NP_004720.1,0,0,0,NM_001171135 NM_001171136 NM_004729,NP_001164606 NP_001164607 NP_004720,9189,ZBED1,ALTE DREF TRAMP hDREF,protein-coding,Xp22.33_and_Yp11.2,zinc finger BED-type containing 1
41,REV__XP_016859010.1,0,2,0,---,---,---,---,---,---,---,---
42,NP_002743.3;XP_006714954.1;XP_016865128.1;XP_005265997.1;XP_016865130.1;NP_620707.1;XP_016865131.1,0,0,0,NM_002752 NM_139068 XM_005265940 XM_006714891 XM_017009639 XM_017009641 XM_017009642,NP_002743 NP_620707 XP_005265997 XP_006714954 XP_016865128 XP_016865130 XP_016865131,5601,MAPK9,JNK-55 JNK2 JNK2A JNK2ALPHA JNK2B JNK2BETA PRKM9 SAPK SAPK1a p54a p54aSAPK,protein-coding,5q35.3,mitogen-activated protein kinase 9
43,XP_005262047.1;NP_001253982.1,0,0,0,NM_001267053 XM_005261990,NP_001253982 XP_005262047,158787,RIBC1,2610028I09Rik,protein-coding,Xp11.22,RIB43A domain with coiled-coils 1
44,NP_068598.1,0,0,0,NM_021826,NP_068598,60493,FASTKD5,dJ1187M17.5,protein-coding,20p13,FAST kinase domains 5
45,NP_005852.2,0,0,0,NM_005861,NP_005852,10273,STUB1,CHIP HSPABP2 NY-CO-7 SCAR16 SDCCAG7 UBOX1,protein-coding,16p13.3,STIP1 homology and U-box containing protein 1
46,XP_016872154.1;NP_079114.3;XP_005252654.1,0,0,0,NM_024838 XM_005252597 XM_017016665,NP_079114 XP_005252654 XP_016872154,79896,THNSL1,TSH1,protein-coding,10p12.1,threonine synthase like 1
47,NP_001373.2;XP_005271479.1,0,0,0,NM_001382 XM_005271422,NP_001373 XP_005271479,1798,DPAGT1,ALG7 CDG-Ij CDG1J CMS13 CMSTA2 D11S366 DGPT DPAGT DPAGT2 G1PT GPT UAGT UGAT,protein-coding,11q23.3,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
48,NP_001129676.1;NP_061185.1,0,0,0,NM_001136204 NM_018715,NP_001129676 NP_061185,55920,RCC2,TD-60,protein-coding,1p36.13,regulator of chromosome condensation 2
49,NP_001275.1;NP_001305020.1,0,0,0,NM_001284 NM_001318091,NP_001275 NP_001305020,1176,AP3S1,CLAPS3 Sigma3A,protein-coding,5q22.3-q23.1,adaptor related protein complex 3 sigma 1 subunit
50,NP_002558.1,0,0,0,NM_002567,NP_002558,5037,PEBP1,HCNP HCNPpp HEL-210 HEL-S-34 HEL-S-96 PBP PEBP PEBP-1 RKIP,protein-coding,12q24.23,phosphatidylethanolamine binding protein 1
51,NP_055515.1;NP_001135744.1,0,0,0,NM_001142272 NM_014700,NP_001135744 NP_055515,9727,RAB11FIP3,CART1 Rab11-FIP3,protein-coding,16p13.3,RAB11 family interacting protein 3
52,XP_005259434.1,0,0,0,XM_005259377,XP_005259434,90324,CCDC97,---,protein-coding,19q13.2,coiled-coil domain containing 97
53,REV__XP_016884941.1,0,2,0,---,---,---,---,---,---,---,---
54,NP_001243000.2,0,0,0,NM_001256071,NP_001243000,57674,RNF213,ALO17 C17orf27 KIAA1618 MYMY2 MYSTR NET57,protein-coding,17q25.3,ring finger protein 213
55,NP_002499.2,0,0,0,NM_002508,NP_002499,4811,NID1,NID,protein-coding,1q42.3,nidogen 1
56,NP_542970.1;NP_001035111.1;NP_001035112.1,0,0,0,NM_001040022 NM_001040023 NM_080792,NP_001035111 NP_001035112 NP_542970,140885,SIRPA,BIT CD172A MFR MYD-1 P84 PTPNS1 SHPS1 SIRP,protein-coding,20p13,signal regulatory protein alpha
57,REV__XP_011539927.1,0,2,0,---,---,---,---,---,---,---,---
58,NP_055112.2;NP_001307796.1,0,0,0,NM_001320867 NM_014297,NP_001307796 NP_055112,23474,ETHE1,HSCO YF13H12,protein-coding,19q13.31,"ETHE1, persulfide dioxygenase"
59,NP_006160.1,0,0,0,NM_006169,NP_006160,4837,NNMT,---,protein-coding,11q23.2,nicotinamide N-methyltransferase
60,NP_055464.1;XP_011526751.1,0,0,0,NM_014649 XM_011528449,NP_055464 XP_011526751,9667,SAFB2,---,protein-coding,19p13.3,scaffold attachment factor B2
61,XP_011531758.1;XP_011531759.1;XP_011531760.1,0,0,0,XM_011533456 XM_011533457 XM_011533458,XP_011531758 XP_011531759 XP_011531760,200844,C3orf67,---,protein-coding,3p14.2,chromosome 3 open reading frame 67
62,NP_001186985.1;NP_001186980.1,0,0,0,NM_001200051 NM_001200056,NP_001186980 NP_001186985,80896,NPL,C112 C1orf13 NAL NPL1,protein-coding,1q25.3,N-acetylneuraminate pyruvate lyase
63,NP_110396.1,0,0,0,NM_030769,NP_110396,80896,NPL,C112 C1orf13 NAL NPL1,protein-coding,1q25.3,N-acetylneuraminate pyruvate lyase
64,XP_005256210.1;NP_079215.2,0,0,0,NM_024939 XM_005256153,NP_079215 XP_005256210,80004,ESRP2,RBM35B,protein-coding,16q22.1,epithelial splicing regulatory protein 2
65,NP_001166925.1;NP_000275.1,0,0,0,NM_000284 NM_001173454,NP_000275 NP_001166925,5160,PDHA1,PDHA PDHAD PDHCE1A PHE1A,protein-coding,Xp22.12,pyruvate dehydrogenase (lipoamide) alpha 1
66,REV__NP_001287795.1,0,2,0,---,---,---,---,---,---,---,---
67,NP_079216.4,0,0,0,NM_024940,NP_079216,80005,DOCK5,---,protein-coding,8p21.2,dedicator of cytokinesis 5
68,NP_443122.3;XP_006722696.1,0,0,0,NM_052890 XM_006722633,NP_443122 XP_006722696,114770,PGLYRP2,HMFT0141 PGLYRPL PGRP-L PGRPL TAGL-like tagL tagL-alpha tagl-beta,protein-coding,19p13.12,peptidoglycan recognition protein 2
69,NP_005504.2;XP_011511046.1;XP_011511047.1,0,0,0,NM_005513 XM_011512744 XM_011512745,NP_005504 XP_011511046 XP_011511047,2960,GTF2E1,FE TF2E1 TFIIE-A,protein-coding,3q13.33,general transcription factor IIE subunit 1
70,NP_055336.1;XP_011509193.1;XP_011509194.1;XP_011509195.1;XP_011509196.1,0,0,0,NM_014521 XM_011510891 XM_011510892 XM_011510893 XM_011510894,NP_055336 XP_011509193 XP_011509194 XP_011509195 XP_011509196,23677,SH3BP4,BOG25 TTP,protein-coding,2q37.2,SH3 domain binding protein 4
71,XP_016875058.1;XP_005253470.1;XP_005253471.1;XP_006719167.1;XP_006719168.1;NP_060788.3;XP_011519031.1;XP_016875059.1;XP_016875060.1;XP_016875061.1;XP_006719166.1;XP_011519033.1;XP_016875063.1;XP_016875064.1;XP_005253472.1;XP_011519035.1,0,0,0,NM_018318 XM_005253413 XM_005253414 XM_005253415 XM_006719103 XM_006719104 XM_006719105 XM_011520729 XM_011520731 XM_011520733 XM_017019569 XM_017019570 XM_017019571 XM_017019572 XM_017019574 XM_017019575,NP_060788 XP_005253470 XP_005253471 XP_005253472 XP_006719166 XP_006719167 XP_006719168 XP_011519031 XP_011519033 XP_011519035 XP_016875058 XP_016875059 XP_016875060 XP_016875061 XP_016875063 XP_016875064,55297,CCDC91,HSD8 p56,protein-coding,12p11.22,coiled-coil domain containing 91
72,NP_065908.1,0,0,0,NM_020857,NP_065908,57617,VPS18,PEP3,protein-coding,15q15.1,"VPS18, CORVET/HOPS core subunit"
73,NP_001018077.1,0,0,0,NM_001018067,NP_001018077,26135,SERBP1,CGI-55 CHD3IP HABP4L PAI-RBP1 PAIRBP1,protein-coding,1p31.3,SERPINE1 mRNA binding protein 1
74,XP_011543843.1,0,0,0,XM_011545541,XP_011543843,5422,POLA1,NSX POLA p180,protein-coding,Xp22.11-p21.3,"DNA polymerase alpha 1, catalytic subunit"
75,NP_060585.2;XP_005263159.1,0,0,0,NM_018115 XM_005263102,NP_060585 XP_005263159,55153,SDAD1,---,protein-coding,4q21.1,SDA1 domain containing 1
76,XP_016881510.1,0,0,0,XM_017026021,XP_016881510,81832,NETO1,BCTL1 BTCL1,protein-coding,18q22.3,neuropilin and tolloid like 1
77,XP_006724729.1;NP_612114.2,0,0,0,NM_138270 XM_006724666,NP_612114 XP_006724729,546,ATRX,ATR2 JMS MRX52 MRXHF1 RAD54 RAD54L SFM1 SHS XH2 XNP ZNF-HX,protein-coding,Xq21.1,"ATRX, chromatin remodeler"
78,NP_003127.1;XP_011535408.1,0,0,0,NM_003136 XM_011537106,NP_003127 XP_011535408,6729,SRP54,---,protein-coding,14q13.2,signal recognition particle 54
79,XP_005256213.1;XP_006721338.2;XP_005256215.1;XP_016879170.1;XP_016879171.1;XP_016879172.1;XP_016879173.1;XP_016879174.1;XP_016879175.1;XP_016879176.1;XP_016879177.1;XP_016879178.1;XP_016879179.1;XP_016879180.1;XP_016879181.1;XP_016879182.1;XP_016879183.1;XP_016879184.1;XP_016879185.1;XP_016879186.1;XP_016879187.1;XP_016879188.1;XP_016879189.1;XP_016879190.1;XP_016879191.1;XP_016879192.1;XP_016879193.1;NP_079222.1;XP_005256217.1;XP_005256220.1;XP_005256221.1;XP_005256222.1;XP_011521645.1,0,0,0,NM_024946 XM_005256156 XM_005256158 XM_005256160 XM_005256163 XM_005256164 XM_005256165 XM_006721275 XM_011523343 XM_017023681 XM_017023682 XM_017023683 XM_017023684 XM_017023685 XM_017023686 XM_017023687 XM_017023688 XM_017023689 XM_017023690 XM_017023691 XM_017023692 XM_017023693 XM_017023694 XM_017023695 XM_017023696 XM_017023697 XM_017023698 XM_017023699 XM_017023700 XM_017023701 XM_017023702 XM_017023703 XM_017023704,NP_079222 XP_005256213 XP_005256215 XP_005256217 XP_005256220 XP_005256221 XP_005256222 XP_006721338 XP_011521645 XP_016879170 XP_016879171 XP_016879172 XP_016879173 XP_016879174 XP_016879175 XP_016879176 XP_016879177 XP_016879178 XP_016879179 XP_016879180 XP_016879181 XP_016879182 XP_016879183 XP_016879184 XP_016879185 XP_016879186 XP_016879187 XP_016879188 XP_016879189 XP_016879190 XP_016879191 XP_016879192 XP_016879193,80011,FAM192A,C16orf94 CDA018 CDA10 NIP30,protein-coding,16q13,family with sequence similarity 192 member A
80,XP_016875270.1;XP_016875271.1;NP_000961.2;NP_001019833.1;NP_001307066.1;NP_001307067.1;NP_001307068.1;NP_001307069.1;NP_001307070.1,0,0,0,NM_000970 NM_001024662 NM_001320137 NM_001320138 NM_001320139 NM_001320140 NM_001320141 XM_017019781 XM_017019782,NP_000961 NP_001019833 NP_001307066 NP_001307067 NP_001307068 NP_001307069 NP_001307070 XP_016875270 XP_016875271,6128,RPL6,L6 SHUJUN-2 TAXREB107 TXREB1,protein-coding,12q24.13,ribosomal protein L6
81,XP_016880696.1;XP_005257785.1,0,0,0,XM_005257728 XM_017025207,XP_005257785 XP_016880696,84074,QRICH2,---,protein-coding,17q25.1,glutamine rich 2
82,XP_011534251.1,0,0,0,XM_011535949,XP_011534251,57038,RARS2,ArgRS DALRD2 PCH6 PRO1992 RARSL,protein-coding,6q15,"arginyl-tRNA synthetase 2, mitochondrial"
83,NP_001127870.1,0,0,0,NM_001134398,NP_001127870,7410,VAV2,VAV-2,protein-coding,9q34.2,vav guanine nucleotide exchange factor 2
84,NP_003874.2,0,0,0,NM_003883,NP_003874,8841,HDAC3,HD3 RPD3 RPD3-2,protein-coding,5q31.3,histone deacetylase 3
85,NP_000990.1;NP_001030335.1,0,0,0,NM_000999 NM_001035258,NP_000990 NP_001030335,6169,RPL38,L38,protein-coding,17q25.1,ribosomal protein L38
86,NP_001288784.1;NP_037392.1;NP_001288768.1,0,0,0,NM_001301839 NM_001301855 NM_013260,NP_001288768 NP_001288784 NP_037392,29115,SAP30BP,HCNGP HTRG HTRP,protein-coding,17q25.1,SAP30 binding protein
87,NP_003155.2,0,0,0,NM_003164,NP_003155,6811,STX5,SED5 STX5A,protein-coding,11q12.3,syntaxin 5
88,NP_001991.1;NP_579803.1;NP_579805.1;NP_579808.1;NP_579806.1;NP_579812.1;NP_579807.1;XP_016881962.1;XP_016881963.1;XP_011524927.1,0,0,0,NM_002000 NM_133269 NM_133271 NM_133272 NM_133273 NM_133274 NM_133278 XM_011526625 XM_017026473 XM_017026474,NP_001991 NP_579803 NP_579805 NP_579806 NP_579807 NP_579808 NP_579812 XP_011524927 XP_016881962 XP_016881963,2204,FCAR,CD89 CTB-61M7.2 FcalphaRI,protein-coding,19q13.42,Fc fragment of IgA receptor
89,NP_005723.2,0,0,0,NM_005732,NP_005723,10111,RAD50,NBSLD RAD502 hRad50,protein-coding,5q31.1,RAD50 double strand break repair protein
90,NP_060390.3;NP_001071131.1;NP_001071132.1;NP_001277005.1;NP_001277004.1,0,0,0,NM_001077663 NM_001077664 NM_001290075 NM_001290076 NM_017920,NP_001071131 NP_001071132 NP_001277004 NP_001277005 NP_060390,55665,URGCP,URG4,protein-coding,7p13,upregulator of cell proliferation
91,NP_002293.2,0,0,0,NM_002302,NP_002293,3950,LECT2,chm-II chm2,protein-coding,5q31.1,leukocyte cell derived chemotaxin 2
92,NP_055156.1;NP_001258570.1,0,0,0,NM_001271641 NM_014341,NP_001258570 NP_055156,23787,MTCH1,CGI-64 PIG60 PSAP SLC25A49,protein-coding,6p21.2,mitochondrial carrier 1
93,XP_006713627.1;NP_056211.2;XP_006713628.1,0,0,0,NM_015396 XM_006713564 XM_006713565,NP_056211 XP_006713627 XP_006713628,25852,ARMC8,GID5 HSPC056 S863-2 VID28,protein-coding,3q22.3,armadillo repeat containing 8
94,NP_060481.3,0,0,0,NM_018011,NP_060481,55082,ARGLU1,---,protein-coding,13q33.3,arginine and glutamate rich 1
95,NP_002486.1,0,0,0,NM_002495,NP_002486,4724,NDUFS4,AQDQ CI-18 CI-18-kDa CI-AQDQ,protein-coding,5q11.2,NADH:ubiquinone oxidoreductase subunit S4
96,NP_036332.2;NP_001275650.1,0,0,0,NM_001288721 NM_012200,NP_001275650 NP_036332,26229,B3GAT3,GLCATI JDSCD glcUAT-I,protein-coding,11q12.3,"beta-1,3-glucuronyltransferase 3"
97,XP_005246400.1;NP_689736.1,0,0,0,NM_152523 XM_005246343,NP_689736 XP_005246400,151195,CCNYL1,---,protein-coding,2q33.3,cyclin Y like 1
98,NP_000975.2,0,0,0,NM_000984,NP_000975,6147,RPL23A,L23A MDA20,protein-coding,17q11.2,ribosomal protein L23a
99,NP_001291378.1,0,0,0,NM_001304449,NP_001291378,646915,ZNF806,---,protein-coding,2q21.2,zinc finger protein 806
100,NP_002808.3,0,0,0,NM_002817,NP_002808,5719,PSMD13,HSPC027 Rpn9 S11 p40.5,protein-coding,11p15.5,"proteasome 26S subunit, non-ATPase 13"
101,NP_001191819.1;NP_065752.1;NP_001186398.1,0,0,0,NM_001199469 NM_020701 NM_001204890,NP_001186398 NP_065752 NP_001191819,57461 100534599,ISY1 ISY1-RAB43,FSAP33,protein-coding,3q21.3,ISY1 splicing factor homolog ||| ISY1-RAB43 readthrough
102,NP_612364.2;XP_005257833.1,0,0,0,NM_138355 XM_005257776,NP_612364 XP_005257833,90507,SCRN2,Ses2,protein-coding,17q21.32,secernin 2
103,NP_078930.3,0,0,0,NM_024654,NP_078930,79707,NOL9,Grc3 NET6,protein-coding,1p36.31,nucleolar protein 9
104,NP_001244.1,0,0,0,NM_001253,NP_001244,988,CDC5L,CDC5 CDC5-LIKE CEF1 PCDC5RP dJ319D22.1,protein-coding,6p21.1,cell division cycle 5 like
105,NP_000977.1,0,0,0,NM_000986,NP_000977,6152,RPL24,HEL-S-310 L24,protein-coding,3q12.3,ribosomal protein L24
106,NP_001238916.1,0,0,0,NM_001251987,NP_001238916,10345,TRDN,CPVT5 TDN TRISK,protein-coding,6q22.31,triadin
107,NP_060101.3;XP_011530405.1,0,0,0,NM_017631 XM_011532103,NP_060101 XP_011530405,55601,DDX60,---,protein-coding,4q32.3,DExD/H-box helicase 60
108,NP_954592.1;XP_005259765.1,0,0,0,NM_199141 XM_005259708,NP_954592 XP_005259765,10498,CARM1,PRMT4,protein-coding,19p13.2,coactivator associated arginine methyltransferase 1
109,NP_001275961.1;NP_006206.2;NP_001275962.1,0,0,0,NM_001289032 NM_001289033 NM_006215,NP_001275961 NP_001275962 NP_006206,5267,SERPINA4,KAL KLST KST PI-4 PI4 kallistatin,protein-coding,14q32.13,serpin family A member 4
110,NP_998785.1;NP_057025.2,0,0,0,NM_015941 NM_213620,NP_057025 NP_998785,51606,ATP6V1H,CGI-11 MSTP042 NBP1 SFD SFDalpha SFDbeta VMA13,protein-coding,8q11.23,ATPase H+ transporting V1 subunit H
111,NP_055018.2;NP_570603.2,0,0,0,NM_014203 NM_130787,NP_055018 NP_570603,160,AP2A1,ADTAA AP2-ALPHA CLAPA1,protein-coding,19q13.33,adaptor related protein complex 2 alpha 1 subunit
112,NP_938205.1;XP_005260739.1;NP_037413.1;XP_011527506.1;XP_011527507.1,0,0,0,NM_013281 NM_198391 XM_005260682 XM_011529204 XM_011529205,NP_037413 NP_938205 XP_005260739 XP_011527506 XP_011527507,23767,FLRT3,HH21,protein-coding,20p12.1,fibronectin leucine rich transmembrane protein 3
113,XP_016875043.1,0,0,0,XM_017019554,XP_016875043,55198,APPL2,DIP13B,protein-coding,12q23.3,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"
114,NP_001009.1;NP_001295155.1,0,0,0,NM_001018 NM_001308226,NP_001009 NP_001295155,6209,RPS15,RIG S15,protein-coding,19p13.3,ribosomal protein S15
115,NP_005176.1,0,0,0,NM_005185,NP_005176,810,CALML3,CLP,protein-coding,10p15.1,calmodulin like 3
116,XP_016875884.1;XP_011533240.1,0,0,0,XM_011534938 XM_017020395,XP_011533240 XP_016875884,145173,B3GLCT,B3GALTL B3GTL B3Glc-T Gal-T beta3Glc-T,protein-coding,13q12.3,beta 3-glucosyltransferase
117,NP_001239203.2;NP_001288168.1;NP_006789.3,0,0,0,NM_001252274 NM_001301239 NM_006798,NP_001239203 NP_001288168 NP_006789,10941,UGT2A1,UDPGT2A1,protein-coding,4q13.3,UDP glucuronosyltransferase family 2 member A1 complex locus
118,NP_003178.1;NP_001015892.1,0,0,0,NM_001015892 NM_003187,NP_001015892 NP_003178,6880,TAF9,MGC:5067 STAF31/32 TAF2G TAFII-31 TAFII-32 TAFII31 TAFII32 TAFIID32,protein-coding,5q13.2,TATA-box binding protein associated factor 9
119,NP_001257964.1,0,0,0,NM_001271035,NP_001257964,2215,FCGR3B,CD16 CD16b FCG3 FCGR3 FCR-10 FCRIII FCRIIIb,protein-coding,1q23.3,Fc fragment of IgG receptor IIIb
