Feature_ID,RowIdentifier,OrigIdentifier,Protein IDs,RefType,Majority protein IDs,Has_Contaminant_Flag,All_Reverse_Flag,Cow_Contaminant_Flag,Target_Species_Flag,Accession_Protein,GeneID,NumGenes,WarningLevel,Fasta headers,Symbol,Alias,Type,Location,Description,TMT11plex-Batch1_TMT-126C,TMT11plex-Batch2_TMT-126C
5094,sp~Q8K2T4~UQCC3_MOUSE,sp|Q8K2T4|UQCC3_MOUSE,sp|Q8K2T4|UQCC3_MOUSE,__Other,sp|Q8K2T4|UQCC3_MOUSE,0,0,0,1,Q8K2T4,107197,1,0,sp|Q8K2T4|UQCC3_MOUSE Ubiquinol-cytochrome-c reductase complex assembly factor 3 OS=Mus musculus OX=10090 GN=Uqcc3 PE=1 SV=1,Uqcc3,AI462493 Cbp4,protein-coding,19|19_A,ubiquinol-cytochrome c reductase complex assembly factor 3 ||| Ubiquinol-cytochrome-c reductase complex assembly factor 3,13.92650276,13.92650276
320,sp~D3Z5L6~S18B1_MOUSE,sp|D3Z5L6|S18B1_MOUSE,sp|D3Z5L6|S18B1_MOUSE,__Other,sp|D3Z5L6|S18B1_MOUSE,0,0,0,1,D3Z5L6,76306,1,0,sp|D3Z5L6|S18B1_MOUSE MFS-type transporter SLC18B1 OS=Mus musculus OX=10090 GN=Slc18b1 PE=2 SV=2,Slc18b1,1110021L09Rik,protein-coding,10|10_A4,"solute carrier family 18, subfamily B, member 1 ||| MFS-type transporter SLC18B1",10.11297864,10.11297864
6368,sp~Q9CQT1~MTNA_MOUSE,sp|Q9CQT1|MTNA_MOUSE,sp|Q9CQT1|MTNA_MOUSE,__Other,sp|Q9CQT1|MTNA_MOUSE,0,0,0,1,Q9CQT1,67873,1,0,sp|Q9CQT1|MTNA_MOUSE Methylthioribose-1-phosphate isomerase OS=Mus musculus OX=10090 GN=Mri1 PE=1 SV=1,Mri1,2410018C20Rik,protein-coding,8|8_C2,methylthioribose-1-phosphate isomerase 1 ||| Methylthioribose-1-phosphate isomerase,14.88885689,14.88885689
1286,sp~P23780~BGAL_MOUSE;sp~Q8VC60~GLB1L_MOUSE,sp|P23780|BGAL_MOUSE;sp|Q8VC60|GLB1L_MOUSE,sp|P23780|BGAL_MOUSE;sp|Q8VC60|GLB1L_MOUSE,__Other,sp|P23780|BGAL_MOUSE,0,0,0,1,P23780 Q8VC60,12091 74577,2,3,sp|P23780|BGAL_MOUSE Beta-galactosidase OS=Mus musculus OX=10090 GN=Glb1 PE=1 SV=1,Glb1 Glb1l,AW125515 Bge Bgl Bgl-e Bgl-s Bgl-t Bgs Bgt C130097A14Rik 4833408P15Rik,protein-coding,9_F3!9_64.4_cM!1!1_C4,"galactosidase, beta 1 ||| Beta-galactosidase ||| galactosidase, beta 1-like ||| Beta-galactosidase-1-like protein",15.71933223,15.71933223
1842,sp~P57096~PSCA_MOUSE,sp|P57096|PSCA_MOUSE,sp|P57096|PSCA_MOUSE,__Other,sp|P57096|PSCA_MOUSE,0,0,0,1,P57096,72373,1,0,sp|P57096|PSCA_MOUSE Prostate stem cell antigen OS=Mus musculus OX=10090 GN=Psca PE=1 SV=2,Psca,2210408B04Rik,protein-coding,15|15_D3,prostate stem cell antigen,12.3851995,12.3851995
2650,sp~Q3U4I7~PYRD2_MOUSE,sp|Q3U4I7|PYRD2_MOUSE,sp|Q3U4I7|PYRD2_MOUSE,__Other,sp|Q3U4I7|PYRD2_MOUSE,0,0,0,1,Q3U4I7,74580,1,0,sp|Q3U4I7|PYRD2_MOUSE Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pyroxd2 PE=1 SV=3,Pyroxd2,3830409H07Rik 4833409A17Rik,protein-coding,19|19_C3,pyridine nucleotide-disulphide oxidoreductase domain 2 ||| Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2,7.393690764,
1165,sp~P16125~LDHB_MOUSE,sp|P16125|LDHB_MOUSE,sp|P16125|LDHB_MOUSE,__Other,sp|P16125|LDHB_MOUSE,0,0,0,1,P16125,16832,1,0,sp|P16125|LDHB_MOUSE L-lactate dehydrogenase B chain OS=Mus musculus OX=10090 GN=Ldhb PE=1 SV=2,Ldhb,AI790582 H-Ldh LDH-B LDH-H Ldh-2 Ldh2,protein-coding,6_G2|6_74.17_cM,lactate dehydrogenase B ||| L-lactate dehydrogenase B chain,17.70360094,17.70360094
6616,sp~Q9CZD3~GARS_MOUSE,sp|Q9CZD3|GARS_MOUSE,sp|Q9CZD3|GARS_MOUSE,__Other,sp|Q9CZD3|GARS_MOUSE,0,0,0,1,Q9CZD3,353172,1,0,sp|Q9CZD3|GARS_MOUSE Glycine--tRNA ligase OS=Mus musculus OX=10090 GN=Gars1 PE=1 SV=1,Gars,GENA202 Gars1 Gena201 Nmf249 Sgrp23,protein-coding,6_B3|6_27.29_cM,glycyl-tRNA synthetase ||| Glycine--tRNA ligase,17.23046753,17.23046753
380,sp~F8VPZ9~BICRA_MOUSE,sp|F8VPZ9|BICRA_MOUSE,sp|F8VPZ9|BICRA_MOUSE,__Other,sp|F8VPZ9|BICRA_MOUSE,0,0,0,1,F8VPZ9,243842,1,0,sp|F8VPZ9|BICRA_MOUSE BRD4-interacting chromatin-remodeling complex-associated protein OS=Mus musculus OX=10090 GN=Bicra PE=1 SV=1,Bicra,Gltscr1,protein-coding,7_A2|7_8.67_cM,BRD4 interacting chromatin remodeling complex associated protein ||| BRD4-interacting chromatin-remodeling complex-associated protein,11.90290265,
5647,sp~Q91VT8~SIM14_MOUSE,sp|Q91VT8|SIM14_MOUSE,sp|Q91VT8|SIM14_MOUSE,__Other,sp|Q91VT8|SIM14_MOUSE,0,0,0,1,Q91VT8,68552,1,0,sp|Q91VT8|SIM14_MOUSE Small integral membrane protein 14 OS=Mus musculus OX=10090 GN=Smim14 PE=1 SV=1,Smim14,1110003E01Rik 1700127H04Rik 5430439C17Rik MAd4,protein-coding,5|5_C3.1,small integral membrane protein 14,8.39848719,
382,sp~G3X982~AOXC_MOUSE,sp|G3X982|AOXC_MOUSE,sp|G3X982|AOXC_MOUSE,__Other,sp|G3X982|AOXC_MOUSE,0,0,0,1,G3X982,71724,1,0,sp|G3X982|AOXC_MOUSE Aldehyde oxidase 3 OS=Mus musculus OX=10090 GN=Aox3 PE=1 SV=1,Aox3,1200011D03Rik AI326299 Aoh1 Aoh2,protein-coding,1_C1.3|1_28.96_cM,aldehyde oxidase 3,18.16220766,18.16220766
263,sp~B0V2N1~PTPRS_MOUSE,sp|B0V2N1|PTPRS_MOUSE,sp|B0V2N1|PTPRS_MOUSE,__Other,sp|B0V2N1|PTPRS_MOUSE,0,0,0,1,B0V2N1,19280,1,0,sp|B0V2N1|PTPRS_MOUSE Receptor-type tyrosine-protein phosphatase S OS=Mus musculus OX=10090 GN=Ptprs PE=1 SV=1,Ptprs,AL022616 PTP PTP-NU3 PTPNU-3 PTPsigma Ptpt9 R-PTP-S RPTPsigma,protein-coding,17_D|17_29.32_cM,"protein tyrosine phosphatase, receptor type, S ||| Receptor-type tyrosine-protein phosphatase S",10.7984718,
1685,sp~P50431~GLYC_MOUSE,sp|P50431|GLYC_MOUSE,sp|P50431|GLYC_MOUSE,__Other,sp|P50431|GLYC_MOUSE,0,0,0,1,P50431,20425,1,0,"sp|P50431|GLYC_MOUSE Serine hydroxymethyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Shmt1 PE=1 SV=3",Shmt1,AI324848 AI385541 C81125 Shmt mshmt mshmt1 mshmt2,protein-coding,11|11_B2,"serine hydroxymethyltransferase 1 (soluble) ||| Serine hydroxymethyltransferase, cytosolic",16.54739488,16.54739488
5471,sp~Q8VD63~TSYL4_MOUSE,sp|Q8VD63|TSYL4_MOUSE,sp|Q8VD63|TSYL4_MOUSE,__Other,sp|Q8VD63|TSYL4_MOUSE,0,0,0,1,Q8VD63,72480,1,0,sp|Q8VD63|TSYL4_MOUSE Testis-specific Y-encoded-like protein 4 OS=Mus musculus OX=10090 GN=Tspyl4 PE=1 SV=1,Tspyl4,2610102M01Rik B230210I21Rik D10Bwg0791e,protein-coding,10_B1|10_18.85_cM,TSPY-like 4 ||| Testis-specific Y-encoded-like protein 4,6.201124123,
227,sp~A2BIM8~MUP18_MOUSE;sp~B5X0G2~MUP17_MOUSE;sp~P02762~MUP6_MOUSE;sp~P04938~MUP11_MOUSE,sp|P02762|MUP6_MOUSE;sp|P04938|MUP11_MOUSE;sp|A2BIM8|MUP18_MOUSE;sp|B5X0G2|MUP17_MOUSE,sp|A2BIM8|MUP18_MOUSE;sp|B5X0G2|MUP17_MOUSE;sp|P02762|MUP6_MOUSE;sp|P04938|MUP11_MOUSE,__Other,sp|A2BIM8|MUP18_MOUSE;sp|B5X0G2|MUP17_MOUSE;sp|P02762|MUP6_MOUSE;sp|P04938|MUP11_MOUSE,0,0,0,1,A2BIM8 P04938 P02762 B5X0G2,100039028 100048884 17840 100189605 100039177 100038948 100039206,7,3,sp|P02762|MUP6_MOUSE Major urinary protein 6 OS=Mus musculus OX=10090 GN=Mup6 PE=1 SV=2;sp|P04938|MUP11_MOUSE Major urinary protein 11 OS=Mus musculus OX=10090 GN=Mup11 PE=1 SV=2;sp|A2BIM8|MUP18_MOUSE Major urinary protein 18 OS=Mus musculus OX=10090 GN=Mu,Mup11 Mup18 Mup1 Mup19 Mup16 Mup9 Mup17,Gm12549 Mup16 Mup18 100039228 Gm12561 Mup6 Mup9 Ltn-1 Lvtn-1 Mup-1 Mup-a Mup10 Mup7 Up-1 100039247 Gm12552 Mup11 Mup14 Mup17 Mup8 Gm14076 Mup2 Gm12557 MUP-17,protein-coding,4!4_B3!4_B3!4_32.85_cM!4_B3!4,major urinary protein 11 ||| major urinary protein 18 ||| major urinary protein 18 ||| major urinary protein 1 ||| major urinary protein 19 ||| major urinary protein 16 ||| major urinary protein 19 ||| major urinary protein 9 ||| Major urinary protein 6 ||| major urinary protein 17,12.53534421,12.53534421
1082,sp~P11589~MUP2_MOUSE;sp~P11591~MUP5_MOUSE,sp|P11589|MUP2_MOUSE;sp|P11591|MUP5_MOUSE,sp|P11589|MUP2_MOUSE;sp|P11591|MUP5_MOUSE,__Other,sp|P11589|MUP2_MOUSE,0,0,0,1,P11589 P11591,100039008 17841 17844,3,3,sp|P11589|MUP2_MOUSE Major urinary protein 2 OS=Mus musculus OX=10090 GN=Mup2 PE=1 SV=1,Mup10 Mup2 Mup5,2610016E04Rik Mup8 AA589603 Mup-2 Mup18 Mup4,protein-coding,4!4_B3,major urinary protein 10 ||| major urinary protein 2 ||| major urinary protein 5,10.01694153,10.01694153
716,sp~O70451~MOT2_MOUSE,sp|O70451|MOT2_MOUSE,sp|O70451|MOT2_MOUSE,__Other,sp|O70451|MOT2_MOUSE,0,0,0,1,O70451,20503,1,0,sp|O70451|MOT2_MOUSE Monocarboxylate transporter 2 OS=Mus musculus OX=10090 GN=Slc16a7 PE=1 SV=1,Slc16a7,4921534N07Rik 9030411M13Rik D630004K10Rik Mct2,protein-coding,10|10_D3,"solute carrier family 16 (monocarboxylic acid transporters), member 7 ||| Monocarboxylate transporter 2",11.87965765,11.87965765
5436,sp~Q8VCH0~THIKB_MOUSE,sp|Q8VCH0|THIKB_MOUSE,sp|Q8VCH0|THIKB_MOUSE,__Other,sp|Q8VCH0|THIKB_MOUSE,0,0,0,1,Q8VCH0,235674,1,0,"sp|Q8VCH0|THIKB_MOUSE 3-ketoacyl-CoA thiolase B, peroxisomal OS=Mus musculus OX=10090 GN=Acaa1b PE=1 SV=1",Acaa1b,---,protein-coding,9|9_F3,"acetyl-Coenzyme A acyltransferase 1B ||| 3-ketoacyl-CoA thiolase B, peroxisomal",10.43377948,10.43377948
6052,sp~Q99K67~AASS_MOUSE,sp|Q99K67|AASS_MOUSE,sp|Q99K67|AASS_MOUSE,__Other,sp|Q99K67|AASS_MOUSE,0,0,0,1,Q99K67,30956,1,0,"sp|Q99K67|AASS_MOUSE Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Mus musculus OX=10090 GN=Aass PE=1 SV=1",Aass,LKR LKR/SDH LOR LOR/SDH Lorsdh SDH,protein-coding,6_A3.1|6_10.27_cM,"aminoadipate-semialdehyde synthase ||| Alpha-aminoadipic semialdehyde synthase, mitochondrial",16.6334434,16.6334434
7372,sp~Q9JIP7~S15A1_MOUSE,sp|Q9JIP7|S15A1_MOUSE,sp|Q9JIP7|S15A1_MOUSE,__Other,sp|Q9JIP7|S15A1_MOUSE,0,0,0,1,Q9JIP7,56643,1,0,sp|Q9JIP7|S15A1_MOUSE Solute carrier family 15 member 1 OS=Mus musculus OX=10090 GN=Slc15a1 PE=1 SV=2,Slc15a1,D630032F02 PECT1 PEPT1,protein-coding,14|14_E5,"solute carrier family 15 (oligopeptide transporter), member 1 ||| Solute carrier family 15 member 1",11.06826025,11.06826025
982,sp~P07361~A1AG2_MOUSE,sp|P07361|A1AG2_MOUSE,sp|P07361|A1AG2_MOUSE,__Other,sp|P07361|A1AG2_MOUSE,0,0,0,1,P07361,18406,1,0,sp|P07361|A1AG2_MOUSE Alpha-1-acid glycoprotein 2 OS=Mus musculus OX=10090 GN=Orm2 PE=1 SV=1,Orm2,Agp1 Orm-2,protein-coding,4_B3|4_33.96_cM,orosomucoid 2 ||| Alpha-1-acid glycoprotein 2,11.36039791,11.36039791
7536,sp~Q9QWF0~CAF1A_MOUSE,sp|Q9QWF0|CAF1A_MOUSE,sp|Q9QWF0|CAF1A_MOUSE,__Other,sp|Q9QWF0|CAF1A_MOUSE,0,0,0,1,Q9QWF0,27221,1,0,sp|Q9QWF0|CAF1A_MOUSE Chromatin assembly factor 1 subunit A OS=Mus musculus OX=10090 GN=Chaf1a PE=1 SV=1,Chaf1a,AL023013 AL024058 CAF-1 Cac1p,protein-coding,17|17_D,"chromatin assembly factor 1, subunit A (p150) ||| Chromatin assembly factor 1 subunit A",,9.272434389
2314,sp~P97816~S100G_MOUSE,sp|P97816|S100G_MOUSE,sp|P97816|S100G_MOUSE,__Other,sp|P97816|S100G_MOUSE,0,0,0,1,P97816,12309,1,0,sp|P97816|S100G_MOUSE Protein S100-G OS=Mus musculus OX=10090 GN=S100g PE=1 SV=3,S100g,AU042539 CABP1 CaBP-D9K Cabp9k Calb3,protein-coding,X|X_F4,S100 calcium binding protein G ||| Protein S100-G,10.49992435,10.49992435
6977,sp~Q9D9H8~CB069_MOUSE,sp|Q9D9H8|CB069_MOUSE,sp|Q9D9H8|CB069_MOUSE,__Other,sp|Q9D9H8|CB069_MOUSE,0,0,0,1,Q9D9H8,73467,1,0,sp|Q9D9H8|CB069_MOUSE UPF0565 protein C2orf69 homolog OS=Mus musculus OX=10090 PE=2 SV=3,1700066M21Rik,AI428479,protein-coding,1|1_C1.3,RIKEN cDNA 1700066M21 gene ||| UPF0565 protein C2orf69 homolog,6.746312766,
1400,sp~P30115~GSTA3_MOUSE,sp|P30115|GSTA3_MOUSE,sp|P30115|GSTA3_MOUSE,__Other,sp|P30115|GSTA3_MOUSE,0,0,0,1,P30115,14859,1,0,sp|P30115|GSTA3_MOUSE Glutathione S-transferase A3 OS=Mus musculus OX=10090 GN=Gsta3 PE=1 SV=2,Gsta3,Gst2-3,protein-coding,1_A4|1_6.5_cM,"glutathione S-transferase, alpha 3 ||| Glutathione S-transferase A3",17.5376369,17.5376369
5096,sp~Q8K2U2~ALKB6_MOUSE,sp|Q8K2U2|ALKB6_MOUSE,sp|Q8K2U2|ALKB6_MOUSE,__Other,sp|Q8K2U2|ALKB6_MOUSE,0,0,0,1,Q8K2U2,233065,1,0,sp|Q8K2U2|ALKB6_MOUSE Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6 OS=Mus musculus OX=10090 GN=Alkbh6 PE=2 SV=3,Alkbh6,AI839550 Abh6 C130099A02,protein-coding,7|7_B1,alkB homolog 6 ||| Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6,11.03768422,
5266,sp~Q8R1R3~STAR7_MOUSE,sp|Q8R1R3|STAR7_MOUSE,sp|Q8R1R3|STAR7_MOUSE,__Other,sp|Q8R1R3|STAR7_MOUSE,0,0,0,1,Q8R1R3,99138,1,0,"sp|Q8R1R3|STAR7_MOUSE StAR-related lipid transfer protein 7, mitochondrial OS=Mus musculus OX=10090 GN=Stard7 PE=1 SV=2",Stard7,AI852671 AL022671 AW544915,protein-coding,2_F1|2_61.88_cM,"START domain containing 7 ||| StAR-related lipid transfer protein 7, mitochondrial",8.843261562,
414,sp~O08601~MTP_MOUSE,sp|O08601|MTP_MOUSE,sp|O08601|MTP_MOUSE,__Other,sp|O08601|MTP_MOUSE,0,0,0,1,O08601,17777,1,0,sp|O08601|MTP_MOUSE Microsomal triglyceride transfer protein large subunit OS=Mus musculus OX=10090 GN=Mttp PE=1 SV=2,Mttp,1810043K16Rik MTP,protein-coding,3_G3|3_64.06_cM,microsomal triglyceride transfer protein ||| Microsomal triglyceride transfer protein large subunit,13.56553333,13.56553333
901,sp~P01863~GCAA_MOUSE;sp~P01865~GCAM_MOUSE;sp~P84751~HVM63_MOUSE,sp|P01863|GCAA_MOUSE;sp|P01865|GCAM_MOUSE;sp|P84751|HVM63_MOUSE,sp|P01863|GCAA_MOUSE;sp|P01865|GCAM_MOUSE;sp|P84751|HVM63_MOUSE,__Other,sp|P01863|GCAA_MOUSE;sp|P01865|GCAM_MOUSE,0,0,0,1,P01863 P01865 P84751,380794 380793,2,3,"sp|P01863|GCAA_MOUSE Ig gamma-2A chain C region, A allele OS=Mus musculus OX=10090 GN=Ighg PE=1 SV=1;sp|P01865|GCAM_MOUSE Ig gamma-2A chain C region, membrane-bound form OS=Mus musculus OX=10090 GN=Igh-1a PE=1 SV=3",Ighg Ighg2a,AU044919 IGHG2A 1810060O09Rik Igh-1 Igh-1a,protein-coding|other,12!12_F2!12_F2!12,"Immunoglobulin heavy chain (gamma polypeptide) ||| immunoglobulin heavy constant gamma 2A ||| Ig gamma-2A chain C region, A allele ||| immunoglobulin heavy constant gamma 2A ||| Ig gamma-2A chain C region, membrane-bound form ||| Ig heavy chain Mem5",16.16570746,16.16570746
5595,sp~Q91V12~BACH_MOUSE,sp|Q91V12|BACH_MOUSE,sp|Q91V12|BACH_MOUSE,__Other,sp|Q91V12|BACH_MOUSE,0,0,0,1,Q91V12,70025,1,0,sp|Q91V12|BACH_MOUSE Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus OX=10090 GN=Acot7 PE=1 SV=2,Acot7,2410041A17Rik Ach1 Act Bach CTE-IIa Cte-II Lach1,protein-coding,4|4_E2,acyl-CoA thioesterase 7 ||| Cytosolic acyl coenzyme A thioester hydrolase,16.85428885,16.85428885
4738,sp~Q8C6G1~CF410_MOUSE,sp|Q8C6G1|CF410_MOUSE,sp|Q8C6G1|CF410_MOUSE,__Other,sp|Q8C6G1|CF410_MOUSE,0,0,0,1,Q8C6G1,67884,1,0,sp|Q8C6G1|CF410_MOUSE Cilia- and flagella-associated protein 410 OS=Mus musculus OX=10090 GN=Cfap410 PE=1 SV=1,Cfap410,1810043G02Rik AV026620 D10Jhu13e,protein-coding,10_C1|10_39.72_cM,cilia and flagella associated protein 410 ||| Cilia- and flagella-associated protein 410,11.14637775,
349,sp~E9Q4P1~WDFY1_MOUSE,sp|E9Q4P1|WDFY1_MOUSE,sp|E9Q4P1|WDFY1_MOUSE,__Other,sp|E9Q4P1|WDFY1_MOUSE,0,0,0,1,E9Q4P1,69368,1,0,sp|E9Q4P1|WDFY1_MOUSE WD repeat and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wdfy1 PE=1 SV=1,Wdfy1,1700013B03Rik 1700120F24Rik FENS-1 Jr1 WDF1 ZFYVE17 mKIAA1435,protein-coding,1|1_C4,WD repeat and FYVE domain containing 1 ||| WD repeat and FYVE domain-containing protein 1,12.68511783,12.68511783
3162,sp~Q61387~COX7R_MOUSE,sp|Q61387|COX7R_MOUSE,sp|Q61387|COX7R_MOUSE,__Other,sp|Q61387|COX7R_MOUSE,0,0,0,1,Q61387,20463,1,0,"sp|Q61387|COX7R_MOUSE Cytochrome c oxidase subunit 7A-related protein, mitochondrial OS=Mus musculus OX=10090 GN=Cox7a2l PE=1 SV=1",Cox7a2l,COX7AR COX7RP EB1 SIG-81 SIG81 Silg81,protein-coding,17|17_E4,"cytochrome c oxidase subunit 7A2 like ||| Cytochrome c oxidase subunit 7A-related protein, mitochondrial",13.93277213,13.93277213
6710,sp~Q9D114~MESH1_MOUSE,sp|Q9D114|MESH1_MOUSE,sp|Q9D114|MESH1_MOUSE,__Other,sp|Q9D114|MESH1_MOUSE,0,0,0,1,Q9D114,68695,1,0,"sp|Q9D114|MESH1_MOUSE Guanosine-3,5-bis(diphosphate) 3-pyrophosphohydrolase MESH1 OS=Mus musculus OX=10090 GN=Hddc3 PE=1 SV=1",Hddc3,1110033O09Rik C86475 MESH1,protein-coding,7|7_D2,"HD domain containing 3 ||| Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1",12.74545855,12.74545855
4940,sp~Q8CIM3~D2HDH_MOUSE,sp|Q8CIM3|D2HDH_MOUSE,sp|Q8CIM3|D2HDH_MOUSE,__Other,sp|Q8CIM3|D2HDH_MOUSE,0,0,0,1,Q8CIM3,98314,1,0,"sp|Q8CIM3|D2HDH_MOUSE D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=D2hgdh PE=1 SV=3",D2hgdh,AA408776 AA408778 AI325464,protein-coding,1|1_D,"D-2-hydroxyglutarate dehydrogenase ||| D-2-hydroxyglutarate dehydrogenase, mitochondrial",14.1054253,14.1054253
914,sp~P02089~HBB2_MOUSE,sp|P02089|HBB2_MOUSE,sp|P02089|HBB2_MOUSE,__Other,sp|P02089|HBB2_MOUSE,0,0,0,1,P02089,15130,1,0,sp|P02089|HBB2_MOUSE Hemoglobin subunit beta-2 OS=Mus musculus OX=10090 GN=Hbb-b2 PE=1 SV=2,Hbb-b2,AI036344 Hbb2 Hbbt2 beta2,protein-coding,7_E3|7_54.85_cM,"hemoglobin, beta adult minor chain ||| Hemoglobin subunit beta-2",18.13317947,18.13317947
